"ncm","excecao","desc","ipi","concat_desc"
"01012100","","-- Reprodutores de raça pura ","NT","Cavalos, asininos e muares, vivos. - Cavalos: -- Reprodutores de raça pura"
"01012900","","-- Outros ","NT","Cavalos, asininos e muares, vivos. - Cavalos: -- Outros"
"01013000","","- Asininos ","NT","Cavalos, asininos e muares, vivos. - Asininos"
"01019000","","- Outros ","NT","Cavalos, asininos e muares, vivos. - Outros"
"01022110","","Prenhes ou com cria ao pé ","NT","Animais vivos da espécie bovina. - Bovinos domésticos: -- Reprodutores de raça pura Prenhes ou com cria ao pé"
"01022190","","Outros ","NT","Animais vivos da espécie bovina. - Bovinos domésticos: -- Reprodutores de raça pura Outros"
"01022911","","Prenhes ou com cria ao pé ","NT","Animais vivos da espécie bovina. - Bovinos domésticos: -- Outros Para reprodução Prenhes ou com cria ao pé"
"01022919","","Outros ","NT","Animais vivos da espécie bovina. - Bovinos domésticos: -- Outros Para reprodução Outros"
"01022990","","Outros ","NT","Animais vivos da espécie bovina. - Bovinos domésticos: -- Outros Outros"
"01023110","","Prenhes ou com cria ao pé ","NT","Animais vivos da espécie bovina. - Búfalos: -- Reprodutores de raça pura Prenhes ou com cria ao pé"
"01023190","","Outros ","NT","Animais vivos da espécie bovina. - Búfalos: -- Reprodutores de raça pura Outros"
"01023911","","Prenhes ou com cria ao pé ","NT","Animais vivos da espécie bovina. - Búfalos: -- Outros Para reprodução Prenhes ou com cria ao pé"
"01023919","","Outros ","NT","Animais vivos da espécie bovina. - Búfalos: -- Outros Para reprodução Outros"
"01023990","","Outros ","NT","Animais vivos da espécie bovina. - Búfalos: -- Outros Outros"
"01029000","","- Outros ","NT","Animais vivos da espécie bovina. - Outros"
"01031000","","- Reprodutores de raça pura ","NT","Animais vivos da espécie suína. - Reprodutores de raça pura"
"01039100","","-- De peso inferior a 50 kg ","NT","Animais vivos da espécie suína. - Outros: -- De peso inferior a 50 kg"
"01039200","","-- De peso igual ou superior a 50 kg ","NT","Animais vivos da espécie suína. - Outros: -- De peso igual ou superior a 50 kg"
"01041011","","Prenhes ou com cria ao pé ","NT","Animais vivos das espécies ovina e caprina. - Ovinos Reprodutores de raça pura Prenhes ou com cria ao pé"
"01041019","","Outros ","NT","Animais vivos das espécies ovina e caprina. - Ovinos Reprodutores de raça pura Outros"
"01041090","","Outros ","NT","Animais vivos das espécies ovina e caprina. - Ovinos Outros"
"01042010","","Reprodutores de raça pura ","NT","Animais vivos das espécies ovina e caprina. - Caprinos Reprodutores de raça pura"
"01042090","","Outros ","NT","Animais vivos das espécies ovina e caprina. - Caprinos Outros"
"01051110","","De linhas puras ou híbridas, para reprodução ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De peso não superior a 185 g: -- Aves da espécie Gallus domesticus De linhas puras ou híbridas, para reprodução"
"01051190","","Outros ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De peso não superior a 185 g: -- Aves da espécie Gallus domesticus Outros"
"01051200","","-- Peruas e perus ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De peso não superior a 185 g: -- Peruas e perus"
"01051300","","-- Patos ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De peso não superior a 185 g: -- Patos"
"01051400","","-- Gansos ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De peso não superior a 185 g: -- Gansos"
"01051500","","-- Galinhas-d'angola (pintadas) ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De peso não superior a 185 g: -- Galinhas-d'angola (pintadas)"
"01059400","","-- Aves da espécie Gallus domesticus ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros: -- Aves da espécie Gallus domesticus"
"01059900","","-- Outros ","NT","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros: -- Outros"
"01061100","","-- Primatas ","NT","Outros animais vivos. - Mamíferos: -- Primatas"
